category,businesses,food_businesses,food_share,is_food_related
Walk-in Clinics,148,4,0.027027,0
Life Insurance,147,0,0.000000,0
Propane,147,10,0.068027,0
Personal Injury Law,146,1,0.006849,0
Do-It-Yourself Food,145,145,1.000000,1
Internet Cafes,143,143,1.000000,1
Vacation Rentals,143,2,0.013986,0
Vinyl Records,142,8,0.056338,0
Departments of Motor Vehicles,140,9,0.064286,0
Dim Sum,140,140,1.000000,1
Leather Goods,140,3,0.021429,0
Cannabis Clinics,139,8,0.057554,0
Social Clubs,139,41,0.294964,0
Tax Services,139,2,0.014388,0
Home Theatre Installation,138,1,0.007246,0
Costumes,137,2,0.014599,0
Historical Tours,136,13,0.095588,0
Supernatural Readings,136,9,0.066176,0
Team Building Activities,136,7,0.051471,0
Divorce & Family Law,135,1,0.007407,0
Educational Services,135,7,0.051852,0
Gay Bars,135,47,0.348148,0
Public Transportation,135,4,0.029630,0
Carpet Installation,133,0,0.000000,0
Plus Size Fashion,133,0,0.000000,0
Boxing,131,0,0.000000,0
Country Clubs,131,40,0.305344,0
Gold Buyers,131,0,0.000000,0
Modern European,131,131,1.000000,1
Water Purification Services,131,19,0.145038,0
Boat Charters,130,12,0.092308,0
Food Court,130,130,1.000000,1
Life Coach,130,1,0.007692,0
Stadiums & Arenas,130,4,0.030769,0
Tanning Beds,130,2,0.015385,0
Cannabis Dispensaries,128,10,0.078125,0
Screen Printing/T-Shirt Printing,128,2,0.015625,0
DJs,127,2,0.015748,0
Marketing,127,3,0.023622,0
Party Bus Rentals,127,13,0.102362,0
Web Design,127,4,0.031496,0
Accountants,126,4,0.031746,0
Rafting/Kayaking,126,4,0.031746,0
Fireplace Services,125,5,0.040000,0
German,125,125,1.000000,1
Knitting Supplies,124,1,0.008065,0
Podiatrists,124,0,0.000000,0
Surgeons,123,0,0.000000,0
Airports,122,8,0.065574,0
Beaches,122,14,0.114754,0
Cycling Classes,122,0,0.000000,0
Home Automation,122,0,0.000000,0
Mortgage Lenders,122,0,0.000000,0
Teeth Whitening,122,0,0.000000,0
University Housing,122,1,0.008197,0
Data Recovery,121,0,0.000000,0
Adult,118,9,0.076271,0
Airlines,118,2,0.016949,0
Paint Stores,118,0,0.000000,0
Decks & Railing,117,0,0.000000,0
Patisserie/Cake Shop,117,117,1.000000,1
Septic Services,117,2,0.017094,0
Amateur Sports Teams,116,5,0.043103,0
Commercial Real Estate,116,2,0.017241,0
Pain Management,116,1,0.008621,0
Personal Chefs,116,81,0.698276,0
Solar Installation,116,1,0.008621,0
African,115,115,1.000000,1
Casinos,114,58,0.508772,0
Szechuan,114,114,1.000000,1
Chimney Sweeps,113,0,0.000000,0
Home Health Care,113,6,0.053097,0
Souvenir Shops,113,25,0.221239,0
Herbs & Spices,112,112,1.000000,1
New Mexican Cuisine,111,111,1.000000,1
Skating Rinks,111,8,0.072072,0
Swimwear,111,1,0.009009,0
Candle Stores,110,10,0.090909,0
Wine Tours,110,50,0.454545,0
Paint & Sip,109,4,0.036697,0
RV Dealers,109,0,0.000000,0
Filipino,108,108,1.000000,1
Pawn Shops,108,2,0.018519,0
RV Repair,108,1,0.009259,0
Grout Services,106,0,0.000000,0
Carpenters,105,0,0.000000,0
Distilleries,105,105,1.000000,1
Bespoke Clothing,104,1,0.009615,0
Falafel,103,103,1.000000,1
Plastic Surgeons,103,1,0.009709,0
Dance Schools,102,1,0.009804,0
Utilities,102,1,0.009804,0
Donation Center,101,0,0.000000,0
Video Game Stores,100,2,0.020000,0
Walking Tours,100,13,0.130000,0
Meditation Centers,99,1,0.010101,0
Occupational Therapy,99,0,0.000000,0
Puerto Rican,99,99,1.000000,1
Wildlife Control,99,1,0.010101,0
Fitness/Exercise Equipment,98,2,0.020408,0
Paddleboarding,98,2,0.020408,0
Waterproofing,98,0,0.000000,0
Comedy Clubs,97,24,0.247423,0
Retirement Homes,97,0,0.000000,0
Shutters,97,0,0.000000,0
Car Buyers,96,0,0.000000,0
Mini Golf,96,12,0.125000,0
Adult Education,95,6,0.063158,0
Art Schools,95,2,0.021053,0
Body Contouring,94,1,0.010638,0
Battery Stores,93,1,0.010753,0
Cantonese,93,93,1.000000,1
Cosmetology Schools,93,0,0.000000,0
Emergency Rooms,93,2,0.021505,0
Campgrounds,92,2,0.021739,0
Cooking Classes,92,63,0.684783,0
Insulation Installation,92,0,0.000000,0
Photo Booth Rentals,92,1,0.010870,0
Tattoo Removal,92,0,0.000000,0
Criminal Defense Law,91,0,0.000000,0
Advertising,90,2,0.022222,0
Kebab,90,90,1.000000,1
Uniforms,90,0,0.000000,0
Investing,89,1,0.011236,0
Psychiatrists,89,1,0.011236,0
Customized Merchandise,88,10,0.113636,0
Farms,88,45,0.511364,0
Live/Raw Food,88,88,1.000000,1
Spiritual Shop,88,13,0.147727,0
Motorcycle Gear,87,2,0.022989,0
Tennis,87,15,0.172414,0
Video/Film Production,87,0,0.000000,0
Hunting & Fishing Supplies,86,6,0.069767,0
Vehicle Wraps,86,0,0.000000,0
Wigs,86,6,0.069767,0
Donairs,85,85,1.000000,1
RV Parks,85,2,0.023529,0
Turkish,85,85,1.000000,1
Whiskey Bars,85,65,0.764706,0
Guitar Stores,84,0,0.000000,0
Legal Services,84,1,0.011905,0
Lebanese,83,83,1.000000,1
Swimming Lessons/Schools,83,1,0.012048,0
Appraisal Services,82,0,0.000000,0
Outdoor Furniture Stores,82,2,0.024390,0
Peruvian,82,82,1.000000,1
Employment Agencies,81,0,0.000000,0
Indoor Playcentre,81,38,0.469136,0
Screen Printing,81,0,0.000000,0
Auto Upholstery,80,0,0.000000,0
Kickboxing,80,0,0.000000,0
Metal Fabricators,80,0,0.000000,0
Radiologists,80,1,0.012500,0
Ear Nose & Throat,79,0,0.000000,0
General Litigation,79,1,0.012658,0
Boat Repair,78,1,0.012821,0
Registration Services,78,0,0.000000,0
Brazilian,77,77,1.000000,1
Middle Schools & High Schools,77,0,0.000000,0
Tabletop Games,77,13,0.168831,0
Taiwanese,77,77,1.000000,1
Cooking Schools,76,41,0.539474,0
Print Media,76,3,0.039474,0
British,75,75,1.000000,1
Embroidery & Crochet,75,1,0.013333,0
Hot Pot,75,75,1.000000,1
Pop-Up Restaurants,75,75,1.000000,1
Smokehouse,75,75,1.000000,1
Emergency Pet Hospital,73,0,0.000000,0
Estate Planning Law,73,0,0.000000,0
Gymnastics,73,1,0.013699,0
Kosher,73,73,1.000000,1
Trampoline Parks,73,3,0.041096,0
Videographers,73,0,0.000000,0
Generator Installation/Repair,72,0,0.000000,0
Golf Equipment,72,4,0.055556,0
Tiki Bars,72,49,0.680556,0
Bus Tours,71,13,0.183099,0
Orthotics,71,0,0.000000,0
Flea Markets,70,12,0.171429,0
Aquariums,69,3,0.043478,0
DUI Law,69,0,0.000000,0
Pan Asian,69,69,1.000000,1
Colombian,67,67,1.000000,1
Ethiopian,67,67,1.000000,1
Horseback Riding,67,5,0.074627,0
Allergists,66,0,0.000000,0
Mountain Biking,66,3,0.045455,0
Saunas,66,4,0.060606,0
Commercial Truck Repair,65,4,0.061538,0
Furniture Assembly,65,0,0.000000,0
Hydro-jetting,65,0,0.000000,0
Patio Coverings,65,0,0.000000,0
TV Mounting,65,1,0.015385,0
Empanadas,64,64,1.000000,1
Farming Equipment,63,1,0.015873,0
Food Tours,62,31,0.500000,0
Golf Lessons,62,10,0.161290,0
Neurologist,62,1,0.016129,0
Vocational & Technical School,62,1,0.016129,0
Boat Tours,61,3,0.049180,0
Christmas Trees,61,12,0.196721,0
Guest Houses,61,5,0.081967,0
Security Services,61,0,0.000000,0
Botanical Gardens,60,4,0.066667,0
Business Consulting,60,4,0.066667,0
Driving Schools,60,0,0.000000,0
Perfume,60,5,0.083333,0
Salvadoran,60,60,1.000000,1
Wholesalers,60,27,0.450000,0
Climbing,59,1,0.016949,0
Cultural Center,59,8,0.135593,0
Hair Loss Centers,59,1,0.016949,0
Shared Office Spaces,59,14,0.237288,0
Alternative Medicine,58,5,0.086207,0
